Lat Lon Depth Vs
50.750191 282.249481 670.000000 5.472982
50.750191 282.499481 70.000000 4.610465
50.750191 282.499481 90.000000 4.553751
50.750191 282.499481 110.000000 4.533224
50.750191 282.499481 130.000000 4.511767
50.750191 282.499481 150.000000 4.502636
50.750191 282.499481 170.000000 4.501332
50.750191 282.499481 190.000000 4.500718
50.750191 282.499481 210.000000 4.500580
50.750191 282.499481 230.000000 4.538419
50.750191 282.499481 250.000000 4.568432
50.750191 282.499481 280.000000 4.613385
50.750191 282.499481 320.000000 4.672117
50.750191 282.499481 370.000000 4.743044
50.750191 282.499481 420.000000 4.812693
50.750191 282.499481 420.000000 5.048637
50.750191 282.499481 470.000000 5.130210
50.750191 282.499481 520.000000 5.216566
50.750191 282.499481 570.000000 5.303038
50.750191 282.499481 620.000000 5.388578
50.750191 282.499481 670.000000 5.472982
50.750191 282.749481 70.000000 4.610465
50.750191 282.749481 90.000000 4.553751
50.750191 282.749481 110.000000 4.533224
50.750191 282.749481 130.000000 4.511767
50.750191 282.749481 150.000000 4.502636
50.750191 282.749481 170.000000 4.501332
50.750191 282.749481 190.000000 4.500718
50.750191 282.749481 210.000000 4.500580
50.750191 282.749481 230.000000 4.538419
50.750191 282.749481 250.000000 4.568432
50.750191 282.749481 280.000000 4.613385
50.750191 282.749481 320.000000 4.672117
50.750191 282.749481 370.000000 4.743044
50.750191 282.749481 420.000000 4.812693
50.750191 282.749481 420.000000 5.048637
50.750191 282.749481 470.000000 5.130210
50.750191 282.749481 520.000000 5.216566
50.750191 282.749481 570.000000 5.303038
50.750191 282.749481 620.000000 5.388578
50.750191 282.749481 670.000000 5.472982
50.750191 282.999481 70.000000 4.610465
50.750191 282.999481 90.000000 4.553751
50.750191 282.999481 110.000000 4.533224
50.750191 282.999481 130.000000 4.511767
50.750191 282.999481 150.000000 4.502636
50.750191 282.999481 170.000000 4.501332
50.750191 282.999481 190.000000 4.500718
50.750191 282.999481 210.000000 4.500580
50.750191 282.999481 230.000000 4.538419
50.750191 282.999481 250.000000 4.568432
50.750191 282.999481 280.000000 4.613385
50.750191 282.999481 320.000000 4.672117
50.750191 282.999481 370.000000 4.743044
50.750191 282.999481 420.000000 4.812693
50.750191 282.999481 420.000000 5.048637
50.750191 282.999481 470.000000 5.130210
50.750191 282.999481 520.000000 5.216566
50.750191 282.999481 570.000000 5.303038
50.750191 282.999481 620.000000 5.388578
50.750191 282.999481 670.000000 5.472982
50.750191 283.249481 70.000000 4.610465
50.750191 283.249481 90.000000 4.553751
50.750191 283.249481 110.000000 4.533224
50.750191 283.249481 130.000000 4.511767
50.750191 283.249481 150.000000 4.502636
50.750191 283.249481 170.000000 4.501332
50.750191 283.249481 190.000000 4.500718
50.750191 283.249481 210.000000 4.500580
50.750191 283.249481 230.000000 4.538419
50.750191 283.249481 250.000000 4.568432
50.750191 283.249481 280.000000 4.613385
50.750191 283.249481 320.000000 4.672117
50.750191 283.249481 370.000000 4.743044
50.750191 283.249481 420.000000 4.812693
50.750191 283.249481 420.000000 5.048637
50.750191 283.249481 470.000000 5.130210
50.750191 283.249481 520.000000 5.216566
50.750191 283.249481 570.000000 5.303038
50.750191 283.249481 620.000000 5.388578
50.750191 283.249481 670.000000 5.472982
50.750191 283.499474 70.000000 4.610465
50.750191 283.499474 90.000000 4.553751
50.750191 283.499474 110.000000 4.533224
50.750191 283.499474 130.000000 4.511767
50.750191 283.499474 150.000000 4.502636
50.750191 283.499474 170.000000 4.501332
50.750191 283.499474 190.000000 4.500718
50.750191 283.499474 210.000000 4.500580
50.750191 283.499474 230.000000 4.538419
50.750191 283.499474 250.000000 4.568432
