#Network 	 Station 	 Latitude 	 Longitude 	 Elevation 
AK	HDA	64.4091	-146.9482	437
AK	HIN	60.396	-146.503494	622.9
AK	HMT	60.3351	-144.2623	629
AK	HOM	59.6572	-151.6515	221
AK	I21K	65.18	-151.9822	248
AK	I23K	65.1479	-149.3603	149
AK	I26K	65.3064	-143.1541	338
AK	I27K	65.6035	-141.6153	874
AK	ISLE	60.6024	-142.3406	1425
AK	J17K	63.3965	-159.0777	323
AK	J19K	63.994	-155.6214	389
AK	J20K	64.1767	-154.1467	314
AK	J25K	64.613	-145.3697	949
AK	J26L	64.5012	-143.5636	1144
AK	JIS	58.275799	-134.384796	10
AK	K13K	61.9331	-164.6555	204.2
AK	K15K	62.2938	-161.5308	346
AK	K20K	63.3569	-154.07	548
AK	K24K	63.8036	-145.7784	724
AK	K27K	64.0292	-142.0758	732
AK	KAI	59.9268	-144.418793	316
AK	KHIT	60.442699	-143.251007	1101
AK	KIAG	60.9231	-142.360504	1752.2
AK	KLU	61.4924	-145.9227	1047.1
AK	KNK	61.4131	-148.4585	598
AK	KOTZ	66.895103	-162.600006	10
AK	KTH	63.5527	-150.923294	1172
AK	KULT	60.247398	-142.723404	1006
AK	L14K	61.3416	-162.6829	41
AK	L16K	61.7105	-159.4747	227
AK	L17K	62.1344	-158.2972	338
AK	L18K	62.2195	-156.6886	329
AK	L19K	62.1816	-154.8543	650
AK	L20K	62.4787	-153.8798	673
AK	L22K	62.5258	-150.7703	817
AK	L26K	63.0254	-143.3478	650
AK	LOGN	60.824001	-141.004807	1663.1
AK	M11K	60.3849	-166.2011	3
AK	M14K	60.7515	-161.96	19
AK	M16K	61.0224	-158.9593	394
AK	M19K	61.9037	-154.3915	521
AK	M20K	61.8823	-153.1318	1107
AK	M23K	61.7929	-147.7262	583
AK	M26K	62.4013	-142.9963	888
AK	M27K	62.3579	-141.878	1536
AK	MCAR	61.3836	-143.024	511
AK	MCAR	61.3836	-143.024	447
AK	MCK	63.7318	-148.9373	618
AK	MDM	64.9602	-148.2319	631
AK	MESA	60.178501	-141.9505	1919
AK	MESA	60.1782	-141.949799	1907
AK	MLY	65.030403	-150.744202	812
AK	N15K	60.1686	-160.0921	449
AK	N18K	60.6801	-155.8897	572
AK	N19K	60.8132	-154.4838	1144
AK	NEA	64.592201	-149.070602	456
AK	NEA2	64.5928	-149.0694	450
AK	NICH	60.2357	-143.9713	485
AK	NKA	60.7425	-151.239502	447.7
AK	NOTK	67.579498	-162.971405	24
AK	O14K	59.2533	-161.2638	129
AK	O18K	59.8542	-155.208	544
AK	O19K	60.1952	-154.3201	96
AK	O20K	60.0815	-152.624	915
AK	P08K	56.6011	-169.5484	36
AK	P16K	59.0314	-157.9906	85.9
AK	P17K	59.1953	-156.4394	91
AK	P23K	59.9979	-147.4031	287
AK	PAX	62.9699	-145.4699	1150
AK	PIN	60.095901	-140.252502	975
AK	PNL	59.667	-139.401398	586
AK	POKR	65.1171	-147.4335	501
AK	PPD	65.517403	-145.524597	1505
AK	PPLA	62.8962	-152.1894	1519
AK	PS01	70.258	-148.6141	9
