#Network 	 Station 	 Latitude 	 Longitude 	 Elevation 
TA	S12K	55.703	-162.061	411
TA	S14K	56.2848	-159.5532	1059
TA	S31K	57.9616	-136.232	34
TA	S32K	57.4688	-134.5763	26
TA	S34M	57.9128	-131.1312	298
TA	T33K	56.8144	-132.9524	22
TA	T35M	56.9811	-130.2496	609
TA	TCOL	64.8735	-147.8618	178
TA	TOLK	68.6408	-149.5724	760
TA	U33K	56.1146	-133.121	11
TA	U35K	55.9154	-130.0257	17
TA	V35K	55.3279	-131.615	64
US	EGAK	64.7774	-141.1581	296.6
US	WRAK	56.4191	-132.3466	80.9
XE	AND	64.330582	-149.199585	178
XE	ANT	63.099201	-149.483063	614
XE	BSH	64.171303	-149.29512	284
XE	BYR	62.689251	-150.231812	384
XE	CAR	63.583057	-148.801636	662
XE	CZN	63.103287	-146.643616	1021
XE	DH1	63.373405	-148.382935	756
XE	DH2	63.265217	-147.855225	943
XE	DH3	63.034489	-147.143753	1028
XE	EFS	63.558075	-149.781433	964
XE	FID	62.762196	-150.069138	308
XE	GNR	63.834457	-148.977997	581
XE	GOO	63.228626	-149.270538	700
XE	HURN	62.999084	-149.606369	607
XE	MCK	63.732288	-148.936783	643
XE	MHR	62.860256	-149.864838	378
XE	NNA	64.579681	-149.078629	383
XE	PVE	62.35508	-150.663956	347
XE	PVW	62.527706	-150.803925	646
XE	PYY	62.909351	-149.711731	430
XE	RCK	64.041191	-149.166	385
XE	RND	63.405655	-148.860138	984
XE	RND5	63.401527	-148.855057	987
XE	RNDE	63.400314	-148.815002	1109
XE	RNDN	63.415718	-148.877777	699
XE	RNDR	63.40144	-148.867355	928
XE	RNDS	63.389576	-148.867569	817
XE	SAN	63.723072	-149.477463	780
XE	SBL	63.46859	-150.199921	1099
XE	SLM	63.50671	-148.804886	661
XE	SLT	63.93914	-149.12117	465
XE	SOB	64.170219	-149.299316	360
XE	TCE	62.314697	-150.314178	159
XE	TLKY	62.149956	-150.060883	129
XE	WOLF	62.56044	-150.203857	340
XE	WON	63.462105	-150.854263	660
XE	YAN	63.655891	-148.774933	781
XF	BOOM	60.155602	-141.405899	50
XF	BUBH	60.2397	-141.420807	870
XF	BUSH	60.118	-141.371704	15
XF	CNTR	60.232498	-141.435196	872
XF	CNTR	60.2286	-141.424301	854
XF	COAL	60.1912	-141.3255	1005
XF	COED	60.237598	-141.447906	890
XF	COED	60.233501	-141.433105	862
XF	DOST	60.172001	-141.385803	430
XF	FUFU	60.227402	-141.425003	855
XF	FUFU	60.2215	-141.412994	841
XF	GOAT	60.136902	-141.453003	10
XF	GONR	60.214699	-141.395798	839
XF	GRAP	60.2663	-141.454697	945
XF	JANK	60.233898	-141.4767	910
XF	KAVU	60.223499	-141.549805	1060
XF	LEFT	60.227501	-141.444305	870
XF	LINA	60.218601	-141.416199	830
XF	LINB	60.222599	-141.429398	857
XF	LINC	60.227699	-141.438202	870
XF	LIND	60.232101	-141.449707	885
XF	LINE	60.234402	-141.459396	899
XF	LINF	60.2384	-141.469894	909
XF	LUPN	60.159199	-141.3479	245
XF	STEW	60.217602	-141.4543	890
XF	TARD	60.246899	-141.3741	1080
XF	TRIP	60.129799	-141.372696	5
XI	APEX1	64.696607	-148.323667	134.3
XI	APEX2	64.696488	-148.323168	133.1
XI	APEX4	64.695948	-148.322557	130.6
XI	APEX8	64.695796	-148.321285	132.4
XI	APEX9	64.695894	-148.320937	131.3
XL	BBB	61.121601	-147.048096	278
XM	CB01	55.205101	-162.710007	6.7
XM	CL01	56.254902	-158.761993	13.1
XM	NL01	55.999802	-161.202103	4.6
XM	PH01	56.924801	-158.658707	9.4
XM	PV01	55.912201	-159.140594	9.8
XM	WM01	56.4529	-159.756104	12.8
XN	B11	60.087002	-130.606995	907
XN	B12	59.932999	-131.7444	822
XN	B13	60.169399	-132.745697	1333
XN	B14	60.483398	-133.306702	705
XN	B15	60.433998	-134.247406	696
XR	BMQ	67.851601	-149.823593	590
XR	CBM	66.206596	-150.263504	570
XR	CHS	68.078903	-149.581696	1025
XR	FRB	69.716202	-148.698502	146
XR	GBN	66.7192	-150.671005	349
XR	GTM	65.401497	-161.277802	409
XR	ICT	69.022301	-148.835999	418
XR	LMW	65.511398	-148.511307	590
XR	LVG	65.522003	-148.551407	222
XR	NOM	64.569504	-165.338303	211
XR	PRB	70.203598	-148.445694	46.5
XR	RBY	64.739998	-155.466003	221
XR	SAG	69.424004	-148.694	342
XR	TFS	68.627403	-149.589996	759
XR	WSM	67.381203	-150.110001	422
XR	YRT	65.824997	-149.542892	645
XV	F1TN	64.6544	-149.1595	108.1
XV	F2TN	64.7091	-149.1327	104.1
XV	F2TN	64.7091	-149.1325	104.1
XV	F2TN	64.7094	-149.1336	104.1
XV	F3TN	64.7716	-149.1465	103.8
XV	F4TN	64.8338	-149.1529	101.9
XV	F4TN	64.8339	-149.1526	101.9
XV	F5MN	64.8857	-149.1814	100.7
XV	F6TP	64.87	-149.5598	115.5
XV	F7TV	64.8537	-149.8256	92.6
XV	F8KN	64.7653	-149.9307	117.9
XV	FAPT	64.5498	-149.0831	111.2
XV	FNN1	64.5716	-149.2178	110
XV	FNN2	64.5756	-149.4456	134.6
XV	FPAP	64.613	-149.0992	105.5
XV	FTGH	64.6917	-148.8279	284.5
XZ	BAGL	60.489601	-142.091507	1470
XZ	BARK	60.403	-142.493103	1389.6
XZ	BARN	61.059502	-141.662094	1915
XZ	BERG	60.3923	-143.703796	474
XZ	BGLC	60.120499	-143.284103	10
XZ	GOAT	60.580502	-144.729202	897
XZ	GRIN	60.280499	-143.320999	625
XZ	GRNC	60.731499	-141.755798	2116
XZ	ISLE	60.602001	-142.341095	1485
XZ	KHIT	60.442699	-143.251007	1101
XZ	KIAG	60.9231	-142.360703	1773
XZ	KULT	60.247398	-142.723404	1006
XZ	LOGN	60.8241	-141.004807	1665
XZ	MCAR	61.383598	-143.024002	447
XZ	MESA	60.178501	-141.9505	1919
XZ	NICH	60.236099	-143.969193	507
XZ	PTPK	61.187	-142.466995	1933
XZ	RKAV	60.2994	-141.347794	1647
XZ	SAMH	60.129398	-140.782806	1140
XZ	SUCK	60.071999	-143.779007	467
XZ	TABL	60.439899	-141.144302	2050
XZ	VRDI	61.227501	-143.454498	1880
YE	PIC1	65.1173	-147.4332	502
YE	PIC2	65.117302	-147.433197	502
YE	PIC3	65.117302	-147.433197	502
YE	PIC4	65.1176	-147.4304	502
YG	DEN1	63.0466	-145.908401	951
YG	DEN3	63.048698	-146.832901	992
YG	DEN4	63.171001	-147.543503	841
YG	DEN5	63.297001	-148.105194	814
YG	GLN1	62.096199	-146.043594	702
YG	GLN2	62.060101	-146.486496	770
YG	GLN3	61.987202	-146.953705	814
YG	GLN4	61.789501	-147.679596	689
YG	LKLO	62.247398	-146.525497	807
YG	MCR1	61.715698	-144.895203	444
YG	MCR2	61.4991	-144.039307	425
YG	MCR3	61.417599	-143.697998	485
YG	MCR4	61.3629	-143.466705	455
YG	NEB1	62.622799	-143.713501	795
YG	NEB2	62.565399	-143.449203	971
YG	NEB3	62.518398	-143.1996	997
YG	RH01	63.6483	-145.875595	605
YG	RH02	63.233398	-145.6259	990
YG	RH03	62.833401	-145.470993	909
YG	RH04	62.628601	-145.456207	725
YG	RH05	62.410599	-145.388199	585
YG	RH06	62.269699	-145.405106	508
YG	RH07	61.950001	-145.381699	469
YG	RH08	61.837002	-145.221603	490
YG	RH09	61.700901	-145.184601	648
YG	RH10	61.5732	-145.225601	602
YG	RH11	61.401402	-145.194702	528
YG	RH12	61.239799	-145.353195	415
YG	RH13	61.193401	-145.574097	528
YG	RH14	61.061699	-145.936707	152
YG	RH15	61.1012	-146.212204	46
YG	TOK1	62.483898	-144.827896	572
YG	TOK2	62.661999	-144.450607	654
YG	TOK3	62.7187	-144.069397	832
YG	TOK4	62.8391	-143.706894	757
YG	TOK5	63.2061	-143.047104	575
YM	ALC3	63.648998	-144.065002	671
YM	BBB	61.121601	-147.048096	278
YM	BRG1	63.598301	-145.869507	0.6
YM	DH34	63.0863	-146.3629	1.3
YM	DH97	63.266701	-147.854706	0.8
YM	HARP	62.4076	-145.154999	600.7
YM	M110	63.306	-148.184601	0.8
YM	MEN1	62.928398	-143.643005	0.7
YM	MLR	62.816502	-145.494797	0.8
YM	NEB1	62.4114	-143.003296	0.9
YM	NTW3	62.9622	-141.933105	0.5
YM	NTW4	62.672298	-141.066803	0.6
YM	TOK3	62.523899	-144.798492	0.6
YM	UCM	63.911201	-148.8862	0.5
YM	YAN2	63.656399	-148.772507	0.8
YO	TIDE	59.972198	-139.545807	25
YV	ALPI	61.244801	-149.539703	811
YV	AVAL	60.3755	-149.346802	222
YV	BIGB	61.5919	-149.817398	91
YV	BING	60.516899	-150.703995	89
YV	BLAK	60.774601	-148.417099	46
YV	BYR	62.689201	-150.231995	402
YV	CASW	62.0056	-150.053497	106
YV	CLRS	60.7458	-148.177994	50
YV	COOK	60.799	-151.017593	40
YV	DEVL	60.5508	-149.594101	306
YV	DIVI	60.256401	-149.355896	273
YV	HEAD	60.0084	-149.4095	55
YV	HOLG	59.835098	-149.769699	46
YV	HOPE	60.873798	-149.597702	498
YV	HOPJ	60.776001	-149.425507	221
YV	INDI	61.000999	-149.497894	127
YV	KASH	61.863602	-150.081696	100
YV	KNIK	61.485901	-149.668793	65
YV	LSKI	60.4832	-150.4617	116
YV	LSUM	60.6717	-149.481003	446
YV	MAIN	60.518299	-148.0914	44
YV	MCDC	61.342701	-149.545395	162
YV	MOOP	60.475399	-149.373901	242
YV	MPEN	60.735199	-150.4823	130
YV	NANC	61.6954	-150.029404	125
YV	NSKI	60.662201	-151.276993	60
YV	PERI	60.709801	-147.9534	65
YV	PORT	60.804901	-148.931595	43
YV	RUSS	60.488098	-150.031601	150
YV	SA5C	60.2673	-143.317703	180
YV	SNUG	60.473099	-149.746796	191
YV	SOLD	60.4641	-151.081497	116
YV	TUPA	60.804501	-149.187195	344
YV	USKI	60.460098	-150.190002	127
YV	WHIT	60.786598	-148.623795	81
YY	IPA2	58.451	-134.533203	307
YY	IPA5	58.449799	-134.536896	297
Z5	ICE1	63.3371	-146.0596	1294
Z5	ICE2	63.422	-146.0702	1346
Z5	ICE3	63.3478	-146.376	1502
Z5	ICE4	63.2368	-146.3752	1291
Z5	ICE5	63.3442	-146.7206	1103
Z5	ICE6	63.4508	-146.8368	1188
Z5	ICE7	63.3468	-147.1677	932
ZE	BING	60.516998	-150.703705	92
ZE	BULG	61.126701	-151.091202	53
ZE	CLAM	60.237598	-151.393402	85
ZE	CONG	61.059399	-151.386993	137
ZE	GOOS	61.3936	-149.8535	56
ZE	HARR	60.3969	-152.242401	68
ZE	HLC1	60.443001	-152.568497	641
ZE	HLC2	60.5756	-153.082703	718
ZE	HLC3	60.6012	-153.276794	453
ZE	HLC4	60.665798	-153.7099	932
ZE	HLC5	60.7407	-154.033401	964
ZE	HOLG	59.835098	-149.769608	47
ZE	HOPE	60.873299	-149.596695	498
ZE	JOES	61.3955	-151.494293	107
ZE	JUDD	61.566799	-151.548004	330
ZE	KALN	60.500599	-151.8871	55
ZE	KALS	60.360401	-152.073196	32
ZE	LTUW	60.034599	-150.700607	69
ZE	LTUX	60.1595	-150.884995	78
ZE	LTUY	60.2216	-151.115295	79
ZE	MPEN	60.7351	-150.481903	124
ZE	NNIL	60.047298	-151.649094	55
ZE	NSKI	60.662201	-151.277206	60
ZE	SALA	60.741798	-151.714493	64
ZE	SOLD	60.464199	-151.081696	116
ZE	WFLS	60.907501	-154.756302	608
ZE	WFLW	60.957298	-155.143997	565
ZE	WHIP	60.965401	-150.632004	44
ZQ	GAGA	58.439999	-134.047607	258
ZQ	GI02	58.4091	-134.0331	0
ZQ	GI03	58.4113	-134.0333	0
ZQ	GI07	58.4226	-134.0367	0
ZQ	GIW1	58.41008	-134.03574	0
ZQ	GIW2	58.40914	-134.03298	0
ZQ	GIW3	58.41136	-134.03331	0
ZQ	GIW4	58.4101	-134.0357	0
ZQ	GIW5	58.40911	-134.03952	0
ZQ	GIW6	58.41008	-134.0353	0
ZQ	GIW7	58.41008	-134.03574	0
ZQ	GUGU	58.420101	-134.038696	139
